session,type,onset_index,length_samples,runway_samples,runway_sec,affected,zone,application,mobility,congestion
B-File-No-No@20798216608,High Network Congestion (Gradual Buildup),113,70,113,11.3,"['DL_BLER', 'UL_BLER', 'UL_NPRB', 'TX_Bytes', 'RX_Bytes', 'Estimated_UL_Buffer', 'PRB_Utilization_DL', 'PRB_Utilization_UL', 'UL_NumberOfPackets', 'DL_NumberOfPackets']",B,File,No,No
B-File-No-No@20798216608,Faulty RF Filters (Temporal),385,18,202,20.2,"['RSRP', 'DL_BLER', 'UL_BLER', 'UL_NPRB', 'UL_SNR', 'TX_Bytes', 'RX_Bytes', 'PRB_Utilization_DL', 'PRB_Utilization_UL']",B,File,No,No
B-File-No-No@20798216608,Co-Channel Interference (Mild),443,98,40,4.0,"['RSRP', 'DL_BLER', 'UL_BLER', 'UL_NPRB', 'UL_SNR', 'TX_Bytes', 'RX_Bytes', 'PRB_Utilization_DL', 'PRB_Utilization_UL']",B,File,No,No
B-File-No-No@20798217504,Buffer Overflow (Gradual Buildup),110,36,110,11.0,"['DL_BLER', 'UL_BLER', 'UL_NPRB', 'TX_Bytes', 'RX_Bytes', 'Estimated_UL_Buffer', 'PRB_Utilization_DL', 'PRB_Utilization_UL', 'UL_NumberOfPackets', 'DL_NumberOfPackets']",B,File,No,No
A-File-No-No@20858688000,Antenna Failure,46,53,46,4.6,"['RSRP', 'DL_BLER', 'DL_MCS', 'UL_BLER', 'UL_MCS', 'UL_SNR', 'TX_Bytes', 'RX_Bytes', 'Estimated_UL_Buffer', 'PRBs_DL_Current', 'PRBs_UL_Current', 'UL_NumberOfPackets', 'DL_NumberOfPackets']",A,File,No,No
A-File-No-No@20858688576,Faulty RF Filters (Temporal),108,140,108,10.8,"['RSRP', 'DL_BLER', 'UL_BLER', 'UL_NPRB', 'UL_SNR', 'TX_Bytes', 'RX_Bytes', 'PRB_Utilization_DL', 'PRB_Utilization_UL']",A,File,No,No
A-File-No-No@20858689856,Resource Allocation Bugs,123,42,123,12.3,"['DL_BLER', 'UL_BLER', 'UL_NPRB', 'TX_Bytes', 'RX_Bytes', 'PRBs_DL_Current', 'PRBs_UL_Current', 'PRB_Utilization_DL', 'PRB_Utilization_UL']",A,File,No,No
A-File-No-No@20858689856,High Network Congestion (Gradual Buildup),352,457,187,18.7,"['DL_BLER', 'UL_BLER', 'UL_NPRB', 'TX_Bytes', 'RX_Bytes', 'Estimated_UL_Buffer', 'PRB_Utilization_DL', 'PRB_Utilization_UL', 'UL_NumberOfPackets', 'DL_NumberOfPackets']",A,File,No,No
A-File-No-No@20858691072,Resource Allocation Bugs,109,25,109,10.9,"['DL_BLER', 'UL_BLER', 'UL_NPRB', 'TX_Bytes', 'RX_Bytes', 'PRBs_DL_Current', 'PRBs_UL_Current', 'PRB_Utilization_DL', 'PRB_Utilization_UL']",A,File,No,No
A-File-No-No@20858692928,Doppler Shift (Severe),114,435,114,11.4,"['RSRP', 'DL_MCS', 'UL_MCS', 'UL_NPRB', 'UL_SNR', 'TX_Bytes', 'RX_Bytes']",A,File,No,No
A-File-No-No@20858697664,Co-Channel Interference (Severe),115,205,115,11.5,"['RSRP', 'DL_BLER', 'UL_BLER', 'UL_NPRB', 'UL_SNR', 'TX_Bytes', 'RX_Bytes', 'PRB_Utilization_DL', 'PRB_Utilization_UL', 'UL_NumberOfPackets', 'DL_NumberOfPackets']",A,File,No,No
C-Twitch-No-No@21227617344,Resource Allocation Bugs,118,440,118,11.8,"['DL_BLER', 'UL_BLER', 'UL_NPRB', 'TX_Bytes', 'RX_Bytes', 'PRBs_DL_Current', 'PRBs_UL_Current', 'PRB_Utilization_DL', 'PRB_Utilization_UL']",C,Twitch,No,No
C-Twitch-No-No@21227618080,Doppler Shift (Severe),99,45,99,9.9,"['RSRP', 'DL_MCS', 'UL_MCS', 'UL_NPRB', 'UL_SNR', 'TX_Bytes', 'RX_Bytes']",C,Twitch,No,No
C-Twitch-No-No@21227618080,High Network Congestion (Sudden Spike),180,83,36,3.6,"['DL_BLER', 'UL_BLER', 'UL_NPRB', 'TX_Bytes', 'RX_Bytes', 'Estimated_UL_Buffer', 'PRB_Utilization_DL', 'PRB_Utilization_UL', 'UL_NumberOfPackets', 'DL_NumberOfPackets']",C,Twitch,No,No
C-Twitch-No-No@21227619232,Antenna Failure,105,66,105,10.5,"['RSRP', 'DL_BLER', 'DL_MCS', 'UL_BLER', 'UL_MCS', 'UL_SNR', 'TX_Bytes', 'RX_Bytes', 'Estimated_UL_Buffer', 'PRBs_DL_Current', 'PRBs_UL_Current', 'UL_NumberOfPackets', 'DL_NumberOfPackets']",C,Twitch,No,No
C-Twitch-No-No@21227619712,Co-Channel Interference (Mild),125,355,125,12.5,"['RSRP', 'DL_BLER', 'UL_BLER', 'UL_NPRB', 'UL_SNR', 'TX_Bytes', 'RX_Bytes', 'PRB_Utilization_DL', 'PRB_Utilization_UL']",C,Twitch,No,No
C-Twitch-No-No@21227620640,Buffer Overflow (Gradual Buildup),123,381,123,12.3,"['DL_BLER', 'UL_BLER', 'UL_NPRB', 'TX_Bytes', 'RX_Bytes', 'Estimated_UL_Buffer', 'PRB_Utilization_DL', 'PRB_Utilization_UL', 'UL_NumberOfPackets', 'DL_NumberOfPackets']",C,Twitch,No,No
C-Twitch-No-No@21227621280,Co-Channel Interference (Severe),105,136,105,10.5,"['RSRP', 'DL_BLER', 'UL_BLER', 'UL_NPRB', 'UL_SNR', 'TX_Bytes', 'RX_Bytes', 'PRB_Utilization_DL', 'PRB_Utilization_UL', 'UL_NumberOfPackets', 'DL_NumberOfPackets']",C,Twitch,No,No
C-Twitch-No-No@21227622720,Buffer Overflow (Gradual Buildup),126,186,126,12.6,"['DL_BLER', 'UL_BLER', 'UL_NPRB', 'TX_Bytes', 'RX_Bytes', 'Estimated_UL_Buffer', 'PRB_Utilization_DL', 'PRB_Utilization_UL', 'UL_NumberOfPackets', 'DL_NumberOfPackets']",C,Twitch,No,No
